区分,薬価基準収載医薬品コード,成分名,規格,Unnamed: 4,Unnamed: 5,Unnamed: 6,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1121001X1018,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素,,,,,7.5,,
内用薬,1123001X1012,抱水クロラール,１ｇ,局,,,抱水クロラール,,,,,36.9,,
内用薬,1124001B1039,エスタゾラム,１％１ｇ,,,,ユーロジン散１％,Ｔ’ｓ製薬,,先発品,,37.4,,
内用薬,1124001F1022,エスタゾラム,１ｍｇ１錠,,,,ユーロジン１ｍｇ錠,Ｔ’ｓ製薬,,先発品,,6.1,,
内用薬,1124001F1030,エスタゾラム,１ｍｇ１錠,,,,エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,★,,,6.1,,
内用薬,1124001F2010,エスタゾラム,２ｍｇ１錠,,,,エスタゾラム２ｍｇ錠,,後発品,,,6.6,,
内用薬,1124001F2029,エスタゾラム,２ｍｇ１錠,,,,ユーロジン２ｍｇ錠,Ｔ’ｓ製薬,,先発品,○,8.4,,
内用薬,1124002M2022,フルラゼパム塩酸塩,１５ｍｇ１カプセル,,,,ダルメートカプセル１５,共和薬品工業,,先発品,,7.2,,
内用薬,1124003B1070,ニトラゼパム,１％１ｇ,,,,ネルボン散１％,アルフレッサファーマ,,,,10.6,R8.3.31まで,
内用薬,1124003C1092,ニトラゼパム,１％１ｇ,,,,ベンザリン細粒１％,共和薬品工業,,,,16.2,,
内用薬,1124003C1114,ニトラゼパム,１％１ｇ,,,,ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学,後発品,,,16.2,,
内用薬,1124003F1021,ニトラゼパム,２ｍｇ１錠,,,,ベンザリン錠２,共和薬品工業,,,,6.1,,
内用薬,1124003F2010,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム５ｍｇ錠,,後発品,,,5.7,,
内用薬,1124003F2222,ニトラゼパム,５ｍｇ１錠,,,,ベンザリン錠５,共和薬品工業,,準先発品,○,7.8,,
内用薬,1124003F2230,ニトラゼパム,５ｍｇ１錠,,,,ネルボン錠５ｍｇ,アルフレッサファーマ,,準先発品,○,7.1,R8.3.31まで,
内用薬,1124003F3016,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム１０ｍｇ錠,,後発品,,,5.9,,
内用薬,1124003F3083,ニトラゼパム,１０ｍｇ１錠,,,,ネルボン錠１０ｍｇ,アルフレッサファーマ,,準先発品,○,12.4,R8.3.31まで,
内用薬,1124003F3121,ニトラゼパム,１０ｍｇ１錠,,,,ベンザリン錠１０,共和薬品工業,,準先発品,○,12.4,,
内用薬,1124005C1032,ハロキサゾラム,１％１ｇ,,,,ソメリン細粒１％,アルフレッサファーマ,,先発品,,18.2,R8.3.31まで,
内用薬,1124005F1020,ハロキサゾラム,５ｍｇ１錠,,,,ソメリン錠５ｍｇ,アルフレッサファーマ,,先発品,,12.1,R8.3.31まで,
