区分,薬価基準収載医薬品コード,成分名,規格,Unnamed: 4,Unnamed: 5,Unnamed: 6,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
外用薬,1112700X1011,ハロタン,１ｍＬ,局,,,ハロタン,,,,,53.8,,
外用薬,1114700X1016,麻酔用エーテル,１ｍＬ,局,,,麻酔用エーテル,,,,,9.6,,
外用薬,1116700X1010,亜酸化窒素,１ｇ,局,,,亜酸化窒素,,,,,2.5,,
外用薬,1116700X1045,亜酸化窒素,１ｇ,局,,,マルワ亜酸化窒素,和歌山酸素,,,,3.2,,
外用薬,1116700X1053,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日本エア・リキード）,日本エア・リキード,,,,3.6,,
外用薬,1116700X1061,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日産）,日産化学,,,,3.6,,
外用薬,1116700X1088,亜酸化窒素,１ｇ,局,,,小池笑気,小池メディカル,,,,3.2,,
外用薬,1119701G1106,イソフルラン,１ｍＬ,局,,,イソフルラン吸入麻酔液「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,後発品,,,23.8,,
外用薬,1119702G1011,セボフルラン,１ｍＬ,,,,セボフルラン吸入液,,後発品,,,25.8,,
外用薬,1119702G1062,セボフルラン,１ｍＬ,局,,,セボフレン吸入麻酔液,丸石製薬,,先発品,○,27.2,,
外用薬,1119703G1024,デスフルラン,１ｍＬ,,,,スープレン吸入麻酔液,バクスター・ジャパン,,先発品,,37.8,,
外用薬,1123700J1020,抱水クロラール,２５０ｍｇ１個,,,,エスクレ坐剤「２５０」,久光製薬,,先発品,,92.2,,
外用薬,1123700J2027,抱水クロラール,５００ｍｇ１個,,,,エスクレ坐剤「５００」,久光製薬,,先発品,,117.0,,
外用薬,1123700X1023,抱水クロラール,５００ｍｇ１筒,,,,エスクレ注腸用キット「５００」,久光製薬,,先発品,,576.1,,
外用薬,1124700J1044,ブロマゼパム,３ｍｇ１個,,,,ブロマゼパム坐剤３ｍｇ「サンド」,サンド,,先発品,,68.1,,
外用薬,1124701J1022,ジアゼパム,４ｍｇ１個,,,,ダイアップ坐剤４,高田製薬,,先発品,,50.7,,
外用薬,1124701J2029,ジアゼパム,６ｍｇ１個,,,,ダイアップ坐剤６,高田製薬,,先発品,,57.3,,
外用薬,1124701J3025,ジアゼパム,１０ｍｇ１個,,,,ダイアップ坐剤１０,高田製薬,,先発品,,66.1,,
外用薬,1125700J1025,フェノバルビタールナトリウム,１５ｍｇ１個,,,,ワコビタール坐剤１５,高田製薬,,先発品,,30.2,,
外用薬,1125700J2021,フェノバルビタールナトリウム,２５ｍｇ１個,,,,ルピアール坐剤２５,久光製薬,,先発品,,34.1,,
外用薬,1125700J3028,フェノバルビタールナトリウム,３０ｍｇ１個,,,,ワコビタール坐剤３０,高田製薬,,先発品,,40.5,,
外用薬,1125700J4024,フェノバルビタールナトリウム,５０ｍｇ１個,,,,ルピアール坐剤５０,久光製薬,,先発品,,49.9,,
外用薬,1125700J4032,フェノバルビタールナトリウム,５０ｍｇ１個,,,,ワコビタール坐剤５０,高田製薬,,先発品,,52.0,,
外用薬,1125700J5020,フェノバルビタールナトリウム,１００ｍｇ１個,,,,ルピアール坐剤１００,久光製薬,,先発品,,58.6,,
外用薬,1125700J5039,フェノバルビタールナトリウム,１００ｍｇ１個,,,,ワコビタール坐剤１００,高田製薬,,先発品,,65.8,,
外用薬,1139700Q1029,ミダゾラム,２．５ｍｇ０．５ｍＬ１筒,,,,ブコラム口腔用液２．５ｍｇ,クリニジェン,,先発品,,1688.7,,
外用薬,1139700Q2025,ミダゾラム,５ｍｇ１ｍＬ１筒,,,,ブコラム口腔用液５ｍｇ,クリニジェン,,先発品,,2966.7,,
外用薬,1139700Q3021,ミダゾラム,７．５ｍｇ１．５ｍＬ１筒,,,,ブコラム口腔用液７．５ｍｇ,クリニジェン,,先発品,,2750.0,,
外用薬,1139700Q4028,ミダゾラム,１０ｍｇ２ｍＬ１筒,,,,ブコラム口腔用液１０ｍｇ,クリニジェン,,先発品,,3474.6,,
外用薬,1139701R1029,ジアゼパム,５ｍｇ０．１ｍＬ１瓶,,,,スピジア点鼻液５ｍｇ,アキュリスファーマ,,先発品,,8336.5,,R7.10.22収載
外用薬,1139701R2025,ジアゼパム,７．５ｍｇ０．１ｍＬ１瓶,,,,スピジア点鼻液７．５ｍｇ,アキュリスファーマ,,先発品,,9337.6,,R7.10.22収載
外用薬,1139701R3021,ジアゼパム,１０ｍｇ０．１ｍＬ１瓶,,,,スピジア点鼻液１０ｍｇ,アキュリスファーマ,,先発品,,10120.0,,R7.10.22収載
外用薬,1141700J1010,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン５０ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1141700J1029,アセトアミノフェン,５０ｍｇ１個,,,,アルピニー坐剤５０,久光製薬,,先発品,,20.9,,
外用薬,1141700J1045,アセトアミノフェン,５０ｍｇ１個,,,,アンヒバ坐剤小児用５０ｍｇ,ヴィアトリス製薬,,先発品,,20.9,,
外用薬,1141700J1088,アセトアミノフェン,５０ｍｇ１個,,,,カロナール坐剤小児用５０,あゆみ製薬,,先発品,○,27.0,,
外用薬,1141700J1134,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「シオエ」,シオエ製薬,後発品,,,21.1,,
外用薬,1141700J2017,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン１００ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1141700J2050,アセトアミノフェン,１００ｍｇ１個,,,,カロナール坐剤１００,あゆみ製薬,,先発品,○,27.0,,
外用薬,1141700J2092,アセトアミノフェン,１００ｍｇ１個,,,,アルピニー坐剤１００,久光製薬,,先発品,,20.9,,
外用薬,1141700J2130,アセトアミノフェン,１００ｍｇ１個,,,,アンヒバ坐剤小児用１００ｍｇ,ヴィアトリス製薬,,先発品,,20.9,,
外用薬,1141700J3013,アセトアミノフェン,２００ｍｇ１個,,,,アセトアミノフェン２００ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1141700J3021,アセトアミノフェン,２００ｍｇ１個,,,,アルピニー坐剤２００,久光製薬,,先発品,,20.9,,
外用薬,1141700J3048,アセトアミノフェン,２００ｍｇ１個,,,,カロナール坐剤２００,あゆみ製薬,,先発品,○,31.4,,
外用薬,1141700J3110,アセトアミノフェン,２００ｍｇ１個,,,,アンヒバ坐剤小児用２００ｍｇ,ヴィアトリス製薬,,先発品,,20.9,,
外用薬,1141700J4028,アセトアミノフェン,４００ｍｇ１個,,,,カロナール坐剤４００,あゆみ製薬,,先発品,,50.4,,
外用薬,1145700J1010,インドメタシン,１２．５ｍｇ１個,局,,,インドメタシン坐剤,,,,,20.9,,
外用薬,1145700J2016,インドメタシン,２５ｍｇ１個,局,,,インドメタシン坐剤,,,,,20.9,,
外用薬,1145700J3012,インドメタシン,５０ｍｇ１個,局,,,インドメタシン坐剤,,,,,20.9,,
外用薬,1147700J1014,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクナトリウム１２．５ｍｇ坐剤,,後発品,,,20.3,,
外用薬,1147700J1057,ジクロフェナクナトリウム,１２．５ｍｇ１個,局,,,ボルタレンサポ１２．５ｍｇ,ノバルティス　ファーマ,,先発品,○,20.9,,
外用薬,1147700J2010,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクナトリウム２５ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1147700J2061,ジクロフェナクナトリウム,２５ｍｇ１個,局,,,ボルタレンサポ２５ｍｇ,ノバルティス　ファーマ,,先発品,○,22.8,,
外用薬,1147700J3017,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ジクロフェナクナトリウム５０ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1147700J3084,ジクロフェナクナトリウム,５０ｍｇ１個,局,,,ボルタレンサポ５０ｍｇ,ノバルティス　ファーマ,,先発品,○,25.7,,
外用薬,1147700S1028,ジクロフェナクナトリウム,７５ｍｇ１枚,,,,ジクトルテープ７５ｍｇ,久光製薬,,先発品,,154.5,,
外用薬,1149700J1019,ケトプロフェン,５０ｍｇ１個,,,,ケトプロフェン５０ｍｇ坐剤,,後発品,,,20.9,,
外用薬,1149700J2104,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,長生堂製薬,後発品,,,22.2,,
外用薬,1149700J2112,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「日新」,日新製薬（山形）,後発品,,,22.2,,
外用薬,1149703J1020,ブプレノルフィン塩酸塩,０．２ｍｇ１個,,,,レペタン坐剤０．２ｍｇ,大塚製薬,,先発品,,111.8,,
外用薬,1149703J2027,ブプレノルフィン塩酸塩,０．４ｍｇ１個,,,,レペタン坐剤０．４ｍｇ,大塚製薬,,先発品,,141.5,,
外用薬,1149704S1020,ブプレノルフィン,５ｍｇ１枚,,,,ノルスパンテープ５ｍｇ,ムンディファーマ,,先発品,,1579.1,,
外用薬,1149704S2027,ブプレノルフィン,１０ｍｇ１枚,,,,ノルスパンテープ１０ｍｇ,ムンディファーマ,,先発品,,2431.4,,
外用薬,1149704S3023,ブプレノルフィン,２０ｍｇ１枚,,,,ノルスパンテープ２０ｍｇ,ムンディファーマ,,先発品,,3743.3,,
